Application Name,Owning Group,BMC Remedy Queue,New Structure Remedy Queue
ASP Sports Access Barriers,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Assessors Core,Finance,GCC Fin & Citizen,GCC Citizen Centric
Astec,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
AsureAdmin,GenApps,GCC General Apps,GCC Line of Business
Attendance Analysis,iWeb,GCC iWeb,GCC Digital Dev Team
AutoCAD Civil 3D,GenApps,GCC General Apps,GCC Line of Business
Autodesk 3D MAX 2014,GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad DWG TrueView 2013,GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad LT v2014 - 64 Bit,GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad Map 3d (64bit),GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad v2014 - 64 Bit,GenApps,GCC General Apps,GCC Line of Business
Autodesk Building Design Suite Premium (BDSP),Desktop,GCC Desktop Model Office,DLM Scotland
Autodesk Design Review v2013,GenApps,GCC General Apps,GCC Line of Business
Autodesk Infrastructure Design Suite Premium,GenApps,GCC General Apps,GCC Line of Business
Autodesk Infrastructure Design suite Standard,GenApps,GCC General Apps,GCC Line of Business
Autodesk NavisWorks,Desktop,GCC Desktop Model Office,DLM Scotland
Autodesk RealDWG,GenApps,GCC General Apps,GCC Line of Business
Autodesk ReCap,Desktop,GCC Desktop Model Office,DLM Scotland
Autodesk Revit Structure,GenApps,GCC General Apps,GCC Line of Business
Autodesk Structural Bridge Design,GenApps,GCC General Apps,GCC Line of Business
Autodesk Vehicle Tracking( ex Autotrack v9),GenApps,GCC General Apps,GCC Line of Business
AXIS,Desktop,GCC Desktop Model Office,DLM Scotland
B2B Gateway,SAP,GCC SAP,CORP SAP
Backup Exec for Windows Servers v10,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
BACSactive-IP v2.0.26,Finance,GCC Fin & Citizen,GCC Citizen Centric
BACSactive-IP v2.0.26 Client Support,Finance,GCC Fin & Citizen,GCC Citizen Centric
Bacway Professional,Desktop,GCC Desktop Model Office,DLM Scotland
Barcode reader,Desktop,GCC Desktop Model Office,DLM Scotland
BaseCamp,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
BC HMO3,GenApps,GCC General Apps,GCC Line of Business
BECS,Finance,GCC Fin & Citizen,GCC Citizen Centric
Bentley MXRoad V8i Select Series 3,GenApps,GCC General Apps,GCC Line of Business
BG-Base v6.4,GenApps,GCC General Apps,GCC Line of Business
Bibliotheca,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Blaze Software,GenApps,GCC General Apps,GCC Line of Business
Boldon James Classifier,DocMan,GCC Document Management,CORP EDRMS
Boldon James Outlook Classifier,DocMan,GCC Document Management,CORP EDRMS
Bonjour,Desktop,GCC Desktop Model Office,DLM Scotland
Box Office,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
BPH data load to Open Galaxy,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Brief Your Market (MRM Integration),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Bulk Uplift Mobile App,iWeb,GCC iWeb,GCC Digital Dev Team
Business Objects V4,Data Analytics,GCC SAP BIA,CORP Data Analytics Team
C4 Complaints System,iWeb,GCC iWeb,GCC Digital Dev Team
CA Traffic,GenApps,GCC General Apps,GCC Line of Business
Calculon,Social Care,GCC Social Care,GCC Citizen Centric
CALM,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
CALM View,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Canon MP Navigator Ex 1.0,Desktop,GCC Desktop Model Office,DLM Scotland
Car Park Barriers (Sports),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Carbon Monoxide Recording Software,Desktop,GCC Desktop Model Office,DLM Scotland
Care Data Warehouse Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Care Invoicing,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
CareFirst v6.11,Social Care,GCC Social Care,GCC Citizen Centric
CareKnowledge,Social Care,GCC Social Care,GCC Citizen Centric
Caremobile,Social Care,GCC Social Care,GCC Citizen Centric
Caresafe cubes,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
careSafe Desktop,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
careSafe Mobile,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
CareTracker v1.29,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Cascade,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Cash Receipting System v2.0.37,Finance,GCC Fin & Citizen,GCC Citizen Centric
CCX Editor,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
CEP,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Certificates Online,iWeb,GCC iWeb,GCC Digital Dev Team
Change Routing,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Children and Families,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Chromeleon (Liquid/GAS) v6.8,GenApps,GCC General Apps,GCC Line of Business
CHS,Social Care,GCC Social Care,GCC Citizen Centric
Cisco Agent Desktop,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco AnyConnect,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco AppAdmin,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Call Manager (CUCM),Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Call Manager Real Time Monitoring Tool,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Desktop Administrator,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco IP Communicator,Desktop,GCC Desktop Model Office,DLM Scotland
Cisco Supervisor Desktop,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
CISCO UCCX V7.5,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Unity Connection,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Citizen Account -IDP,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Citrix Xenapps (used for CASCADE),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
ClearView,Desktop,GCC Desktop Model Office,DLM Scotland
Cognisoft - IO,Desktop,GCC Desktop Model Office,DLM Scotland
